Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
M Vijay ,15,36,18,3,0,83.33,2,v Australia,Visakhapatnam,20-10-2010
V Sehwag ,15,46,22,2,0,68.18,2,v Australia,Ahmedabad,24-03-2011
P Kumar ,15,19,17,2,0,88.23,2,v Australia,Melbourne,05-02-2012
MG Johnson ,14*,18,8,2,0,175,1,v India,Vadodara,25-10-2009
S Dhawan ,14*,19,12,3,0,116.66,2,v Australia,Ranchi,23-10-2013
R Ashwin ,14*,25,20,0,0,70,1,v Australia,Melbourne,18-01-2015
JR Hopes ,14,17,9,1,1,155.55,1,v India,Vadodara,25-10-2009
SR Tendulkar ,14,40,29,2,0,48.27,2,v Australia,Vadodara,25-10-2009
SR Tendulkar ,14,34,15,2,0,93.33,2,v Australia,Sydney,26-02-2012
MS Dhoni ,14,68,49,0,0,28.57,2,v Australia,Sydney,26-02-2012
SR Watson ,14,29,19,3,0,73.68,1,v India,Ranchi,23-10-2013
GJ Maxwell ,14,21,18,0,2,77.77,2,v India,Kolkata,21-09-2017
AJ Finch ,14,-,24,1,0,58.33,1,v India,Melbourne,18-01-2019
XJ Doherty ,13*,11,9,0,1,144.44,1,v India,Sydney,26-02-2012
BJ Haddin ,13*,30,11,1,0,118.18,2,v India,Melbourne,18-01-2015
V Sehwag ,13,20,11,3,0,118.18,2,v Australia,Vadodara,25-10-2009
PJ Hughes ,13,26,22,3,0,59.09,1,v India,Nagpur,30-10-2013
MS Dhoni ,13,12,10,1,1,130,2,v Australia,Bengaluru,28-09-2017
PSP Handscomb ,13,19,17,0,0,76.47,1,v India,Nagpur,01-10-2017
SS Tiwary ,12*,22,17,2,0,70.58,2,v Australia,Visakhapatnam,20-10-2010
R Vinay Kumar ,12*,13,15,1,0,80,2,v Australia,Melbourne,05-02-2012
MR Marsh ,12*,24,13,0,0,92.3,2,v India,Perth,12-01-2016
NM Lyon ,12*,11,5,1,1,240,1,v India,Adelaide,15-01-2019
RT Ponting ,12,24,16,2,0,75,2,v India,Nagpur,28-10-2009
MC Henriques ,12,20,17,0,0,70.58,1,v India,Delhi,31-10-2009
Yuvraj Singh ,12,41,21,0,0,57.14,2,v Australia,Mohali,02-11-2009
CL White ,12,36,22,0,0,54.54,1,v India,Ahmedabad,24-03-2011
RA Jadeja ,12,11,8,0,0,150,2,v Australia,Adelaide,12-02-2012
V Kohli ,12,44,25,0,0,48,2,v Australia,Brisbane,19-02-2012
Yuvraj Singh ,12,20,14,0,1,85.71,1,v Australia,Bengaluru,02-11-2013
